Academic Year,County Name,District Name,School Name,School Type,Educational_Type,Low Grade,High Grade,1718_Enrollment,1718_Free_Meal_Count,1718_Free_Meal_Percent,1718_FRPM_Count,1718_FRPM_Percent
2017-2018,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,High Schools (Public),Traditional,9,12,413,265,0.642,308,0.746
2017-2018,Alameda,Alameda County Office of Education,Community School for Creative Education,Elementary Schools (Public),Traditional,K,8,252,169,0.6709999999999999,180,0.7140000000000001
2017-2018,Alameda,Alameda County Office of Education,Yu Ming Charter,Elementary Schools (Public),Traditional,K,8,387,49,0.127,53,0.13699999999999998
2017-2018,Alameda,Alameda County Office of Education,Urban Montessori Charter,Elementary Schools (Public),Traditional,K,8,448,118,0.263,127,0.28300000000000003
2017-2018,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Juvenile Court Schools,Juvenile Court School,K,12,77,77,1.0,77,1.0
2017-2018,Alameda,Alameda County Office of Education,Alameda County Community,County Community,County Community School,K,12,175,138,0.789,149,0.851
2017-2018,Alameda,Alameda County Office of Education,Oakland Unity Middle,Intermediate/Middle Schools (Public),Traditional,6,8,179,138,0.7709999999999999,153,0.855
2017-2018,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12 Schools (Public),Traditional,K,12,106,22,0.20800000000000002,27,0.255
2017-2018,Alameda,Alameda County Office of Education,Opportunity Charter,County Community,County Community School,10,12,23,18,0.7829999999999999,18,0.7829999999999999
2017-2018,Alameda,Alameda County Office of Education,Cox Academy,Elementary Schools (Public),Traditional,P,5,587,509,0.867,546,0.93
2017-2018,Alameda,Alameda County Office of Education,Lazear Charter Academy,Elementary Schools (Public),Traditional,K,8,463,356,0.769,422,0.9109999999999999
2017-2018,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special School,K,Adult,40,40,1.0,40,1.0
2017-2018,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special School,P,12,375,373,0.995,373,0.995
2017-2018,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",,,,,32,10,0.313,10,0.313
2017-2018,Alameda,Alameda Unified,Alameda Science and Technology Institute,Alternative Schools of Choice,Alternative School of Choice,9,12,187,52,0.278,58,0.31
2017-2018,Alameda,Alameda Unified,Ruby Bridges Elementary,Elementary Schools (Public),Traditional,K,5,504,303,0.601,337,0.669
2017-2018,Alameda,Alameda Unified,Nea Community Learning Center,K-12 Schools (Public),Traditional,K,12,553,154,0.278,167,0.302
2017-2018,Alameda,Alameda Unified,The Academy of Alameda,Intermediate/Middle Schools (Public),Traditional,6,8,489,160,0.327,184,0.376
2017-2018,Alameda,Alameda Unified,Maya Lin,Alternative Schools of Choice,Alternative School of Choice,K,8,415,89,0.214,96,0.231
2017-2018,Alameda,Alameda Unified,Alameda High,High Schools (Public),Traditional,9,12,1776,371,0.209,410,0.231
2017-2018,Alameda,Alameda Unified,Alameda Community Learning Center,K-12 Schools (Public),Traditional,6,12,368,104,0.28300000000000003,117,0.318
2017-2018,Alameda,Alameda Unified,Alternatives in Action,High Schools (Public),Traditional,9,12,183,141,0.77,181,0.9890000000000001
