Academic Year,County Name,District Name,School Name,School Type,Educational_Type,Low Grade,High Grade,1920_Enrollment,1920_Free_Meal_Count,1920_Free_Meal_Percent,1920_FRPM_Count,1920_FRPM_Percent
2019-2020,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,High Schools (Public),Traditional,6,12,412,259,0.629,295,0.716
2019-2020,Alameda,Alameda County Office of Education,Community School for Creative Education,Elementary Schools (Public),Traditional,K,8,267,198,0.742,228,0.8540000000000001
2019-2020,Alameda,Alameda County Office of Education,Yu Ming Charter,Elementary Schools (Public),Traditional,K,8,487,69,0.142,77,0.158
2019-2020,Alameda,Alameda County Office of Education,Urban Montessori Charter,Elementary Schools (Public),Traditional,K,8,393,115,0.293,132,0.336
2019-2020,Alameda,Alameda County Office of Education,Epic Charter,Intermediate/Middle Schools (Public),Traditional,6,8,246,189,0.768,199,0.809
2019-2020,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Juvenile Court Schools,Juvenile Court School,K,12,73,73,1.0,73,1.0
2019-2020,Alameda,Alameda County Office of Education,Alameda County Community,County Community,County Community School,K,12,141,119,0.8440000000000001,123,0.872
2019-2020,Alameda,Alameda County Office of Education,Oakland Unity Middle,Intermediate/Middle Schools (Public),Traditional,6,8,170,129,0.759,146,0.8590000000000001
2019-2020,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12 Schools (Public),Traditional,K,12,416,92,0.221,105,0.252
2019-2020,Alameda,Alameda County Office of Education,Opportunity Academy,County Community,County Community School,10,12,125,36,0.28800000000000003,36,0.28800000000000003
2019-2020,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,Junior High Schools (Public),Traditional,6,8,112,83,0.741,93,0.83
2019-2020,Alameda,Alameda County Office of Education,Hayward Collegiate Charter,Elementary Schools (Public),Traditional,K,6,89,39,0.43799999999999994,63,0.708
2019-2020,Alameda,Alameda County Office of Education,Cox Academy,Elementary Schools (Public),Traditional,P,5,587,461,0.785,482,0.821
2019-2020,Alameda,Alameda County Office of Education,Lazear Charter Academy,Elementary Schools (Public),Traditional,K,8,484,313,0.647,381,0.787
2019-2020,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special School,K,Adult,64,64,1.0,64,1.0
2019-2020,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special School,P,12,350,349,0.997,349,0.997
2019-2020,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",,,,,37,10,0.27,10,0.27
2019-2020,Alameda,Alameda Unified,Alameda Science and Technology Institute,Alternative Schools of Choice,Alternative School of Choice,9,12,185,52,0.281,59,0.319
2019-2020,Alameda,Alameda Unified,Ruby Bridges Elementary,Elementary Schools (Public),Traditional,K,5,471,247,0.524,275,0.584
2019-2020,Alameda,Alameda Unified,Nea Community Learning Center,K-12 Schools (Public),Traditional,K,12,610,211,0.34600000000000003,238,0.39
2019-2020,Alameda,Alameda Unified,The Academy of Alameda,Intermediate/Middle Schools (Public),Traditional,6,8,476,186,0.391,246,0.517
2019-2020,Alameda,Alameda Unified,Alameda High,High Schools (Public),Traditional,9,12,1777,322,0.18100000000000002,355,0.2
2019-2020,Alameda,Alameda Unified,Alameda Community Learning Center,K-12 Schools (Public),Traditional,6,12,358,106,0.29600000000000004,111,0.31
2019-2020,Alameda,Alameda Unified,Alternatives in Action,High Schools (Public),Traditional,9,12,171,144,0.8420000000000001,160,0.9359999999999999
2019-2020,Alameda,Alameda Unified,The Academy of Alameda Elementary,Elementary Schools (Public),Traditional,K,5,298,103,0.34600000000000003,140,0.47
2019-2020,Alameda,Alameda Unified,Encinal Junior/Senior High,K-12 Schools (Public),Traditional,6,12,1225,418,0.341,472,0.385
2019-2020,Alameda,Alameda Unified,Island High (Continuation),Continuation High Schools,Continuation School,9,12,84,43,0.512,45,0.536
2019-2020,Alameda,Alameda Unified,Maya Lin,Elementary Schools (Public),Traditional,K,5,449,93,0.207,111,0.247
2019-2020,Alameda,Alameda Unified,Edison Elementary,Elementary Schools (Public),Traditional,K,5,467,51,0.109,54,0.11599999999999999
2019-2020,Alameda,Alameda Unified,Frank Otis Elementary,Elementary Schools (Public),Traditional,K,5,638,85,0.133,93,0.146
2019-2020,Alameda,Alameda Unified,Franklin Elementary,Elementary Schools (Public),Traditional,K,5,320,46,0.14400000000000002,48,0.15
2019-2020,Alameda,Alameda Unified,Love Elementary,Elementary Schools (Public),Traditional,K,5,550,201,0.365,226,0.41100000000000003
2019-2020,Alameda,Alameda Unified,Lincoln Middle,Intermediate/Middle Schools (Public),Traditional,6,8,881,115,0.131,128,0.145
2019-2020,Alameda,Alameda Unified,Will C. Wood Middle,Intermediate/Middle Schools (Public),Traditional,6,8,609,230,0.37799999999999995,253,0.415
2019-2020,Alameda,Alameda Unified,William G. Paden Elementary,Elementary Schools (Public),Traditional,K,5,421,155,0.368,172,0.409
2019-2020,Alameda,Alameda Unified,Amelia Earhart Elementary,Elementary Schools (Public),Traditional,K,5,652,57,0.087,62,0.095
2019-2020,Alameda,Alameda Unified,Bay Farm,Elementary Schools (Public),Traditional,K,8,606,46,0.076,59,0.09699999999999999
2019-2020,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",,,,,11,1,0.091,1,0.091
2019-2020,Alameda,Albany City Unified,MacGregor High (Continuation),Continuation High Schools,Continuation School,10,12,3,1,0.33299999999999996,1,0.33299999999999996
2019-2020,Alameda,Albany City Unified,Albany High,High Schools (Public),Traditional,9,12,1157,154,0.133,173,0.15
2019-2020,Alameda,Albany City Unified,Cornell Elementary,Elementary Schools (Public),Traditional,K,5,534,61,0.114,63,0.11800000000000001
2019-2020,Alameda,Albany City Unified,Albany Middle,Intermediate/Middle Schools (Public),Traditional,6,8,849,139,0.16399999999999998,150,0.177
2019-2020,Alameda,Albany City Unified,Marin Elementary,Elementary Schools (Public),Traditional,K,5,505,80,0.158,86,0.17
2019-2020,Alameda,Albany City Unified,Ocean View Elementary,Elementary Schools (Public),Traditional,K,5,527,150,0.285,161,0.306
2019-2020,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",,,,,43,12,0.27899999999999997,12,0.27899999999999997
