Academic Year,County Name,District Name,School Name,School Type,Educational_Type,Low Grade,High Grade,1920_Enrollment,1920_Free_Meal_Count,1920_Free_Meal_Percent,1920_FRPM_Count,1920_FRPM_Percent
2019-2020,Alameda,Berkeley Unified,Berkeley High,High Schools (Public),Traditional,9,12,3255,730,0.22399999999999998,796,0.245
2019-2020,Alameda,Berkeley Unified,Berkeley Technology Academy,Continuation High Schools,Continuation School,10,12,53,37,0.698,38,0.7170000000000001
2019-2020,Alameda,Berkeley Unified,Martin Luther King Middle,Intermediate/Middle Schools (Public),Traditional,6,8,983,195,0.198,229,0.233
2019-2020,Alameda,Berkeley Unified,Willard Middle,Intermediate/Middle Schools (Public),Traditional,6,8,701,175,0.25,206,0.294
2019-2020,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Elementary Schools (Public),Traditional,K,5,451,73,0.162,84,0.18600000000000003
2019-2020,Alameda,Berkeley Unified,Cragmont Elementary,Elementary Schools (Public),Traditional,K,5,356,89,0.25,99,0.278
2019-2020,Alameda,Berkeley Unified,Emerson Elementary,Elementary Schools (Public),Traditional,K,5,317,85,0.268,89,0.281
2019-2020,Alameda,Berkeley Unified,Jefferson Elementary,Elementary Schools (Public),Traditional,K,5,443,82,0.185,93,0.21
2019-2020,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Elementary Schools (Public),Traditional,K,5,385,94,0.244,109,0.28300000000000003
2019-2020,Alameda,Berkeley Unified,Malcolm X Elementary,Elementary Schools (Public),Traditional,K,5,552,135,0.245,155,0.281
2019-2020,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Intermediate/Middle Schools (Public),Traditional,6,8,503,232,0.461,270,0.537
2019-2020,Alameda,Berkeley Unified,Oxford Elementary,Elementary Schools (Public),Traditional,K,5,263,64,0.243,80,0.304
2019-2020,Alameda,Berkeley Unified,Thousand Oaks Elementary,Elementary Schools (Public),Traditional,K,5,390,98,0.251,118,0.303
2019-2020,Alameda,Berkeley Unified,Washington Elementary,Elementary Schools (Public),Traditional,K,5,425,81,0.191,90,0.212
2019-2020,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Elementary Schools (Public),Traditional,K,5,408,102,0.25,112,0.275
2019-2020,Alameda,Berkeley Unified,John Muir Elementary,Elementary Schools (Public),Traditional,K,5,316,85,0.26899999999999996,93,0.294
2019-2020,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",,,,,15,6,0.4,7,0.467
2019-2020,Alameda,Castro Valley Unified,Roy A. Johnson High,Special Education Schools (Public),Special Education School,9,12,22,5,0.22699999999999998,5,0.22699999999999998
2019-2020,Alameda,Castro Valley Unified,Castro Valley High,High Schools (Public),Traditional,9,12,2853,466,0.163,525,0.184
2019-2020,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,K-12 Schools (Public),Traditional,K,12,30,5,0.16699999999999998,5,0.16699999999999998
2019-2020,Alameda,Castro Valley Unified,Redwood Continuation High,Continuation High Schools,Continuation School,9,12,126,53,0.42100000000000004,58,0.46
2019-2020,Alameda,Castro Valley Unified,Castro Valley Elementary,Elementary Schools (Public),Traditional,K,5,501,190,0.379,219,0.43700000000000006
2019-2020,Alameda,Castro Valley Unified,Chabot Elementary,Elementary Schools (Public),Traditional,K,5,469,71,0.151,84,0.179
2019-2020,Alameda,Castro Valley Unified,Creekside Middle,Intermediate/Middle Schools (Public),Traditional,6,8,772,142,0.184,164,0.212
2019-2020,Alameda,Castro Valley Unified,Independent Elementary,Elementary Schools (Public),Traditional,K,5,657,88,0.134,103,0.157
2019-2020,Alameda,Castro Valley Unified,Marshall Elementary,Elementary Schools (Public),Traditional,K,5,497,129,0.26,156,0.314
2019-2020,Alameda,Castro Valley Unified,Palomares Elementary,Elementary Schools (Public),Traditional,K,5,145,31,0.214,35,0.24100000000000002
2019-2020,Alameda,Castro Valley Unified,Proctor Elementary,Elementary Schools (Public),Traditional,K,5,545,69,0.127,79,0.145
2019-2020,Alameda,Castro Valley Unified,Stanton Elementary,Elementary Schools (Public),Traditional,K,5,492,127,0.258,160,0.325
2019-2020,Alameda,Castro Valley Unified,Vannoy Elementary,Elementary Schools (Public),Traditional,K,5,423,45,0.106,55,0.13
2019-2020,Alameda,Castro Valley Unified,Canyon Middle,Intermediate/Middle Schools (Public),Traditional,6,8,1377,306,0.222,338,0.245
2019-2020,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Elementary Schools (Public),Traditional,K,5,397,38,0.096,43,0.10800000000000001
2019-2020,Alameda,Emery Unified,Emery Secondary,High Schools (Public),Traditional,9,12,227,141,0.621,154,0.6779999999999999
2019-2020,Alameda,Emery Unified,Anna Yates Elementary,Elementary Schools (Public),Traditional,K,8,494,316,0.64,353,0.715
2019-2020,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",,,,,52,13,0.25,13,0.25
2019-2020,Alameda,Fremont Unified,Young Adult Program,Special Education Schools (Public),Special Education School,9,12,34,10,0.294,11,0.324
2019-2020,Alameda,Fremont Unified,American High,High Schools (Public),Traditional,9,12,2519,400,0.159,481,0.191
2019-2020,Alameda,Fremont Unified,Robertson High (Continuation),Continuation High Schools,Continuation School,9,12,183,92,0.503,108,0.59
2019-2020,Alameda,Fremont Unified,Vista Alternative,Alternative Schools of Choice,Alternative School of Choice,7,12,17,3,0.17600000000000002,3,0.17600000000000002
2019-2020,Alameda,Fremont Unified,Circle of Independent Learning,K-12 Schools (Public),Traditional,K,12,385,116,0.301,145,0.377
2019-2020,Alameda,Fremont Unified,Irvington High,High Schools (Public),Traditional,9,12,2367,308,0.13,383,0.162
2019-2020,Alameda,Fremont Unified,John F. Kennedy High,High Schools (Public),Traditional,9,12,1373,438,0.319,588,0.428
2019-2020,Alameda,Fremont Unified,Mission San Jose High,High Schools (Public),Traditional,9,12,2048,130,0.063,151,0.07400000000000001
2019-2020,Alameda,Fremont Unified,Washington High,High Schools (Public),Traditional,9,12,1930,413,0.214,512,0.265
2019-2020,Alameda,Fremont Unified,John Blacow Elementary,Elementary Schools (Public),Traditional,K,6,449,132,0.294,176,0.392
2019-2020,Alameda,Fremont Unified,Brier Elementary,Elementary Schools (Public),Traditional,K,6,625,175,0.28,221,0.354
2019-2020,Alameda,Fremont Unified,Cabrillo Elementary,Elementary Schools (Public),Traditional,K,6,377,178,0.47200000000000003,218,0.578
2019-2020,Alameda,Fremont Unified,E. M. Grimmer Elementary,Elementary Schools (Public),Traditional,K,6,488,161,0.33,217,0.445
2019-2020,Alameda,Fremont Unified,Glenmoor Elementary,Elementary Schools (Public),Traditional,K,6,689,179,0.26,212,0.308
2019-2020,Alameda,Fremont Unified,Harvey Green Elementary,Elementary Schools (Public),Traditional,K,6,527,129,0.245,155,0.294
2019-2020,Alameda,Fremont Unified,J. Haley Durham Elementary,Elementary Schools (Public),Traditional,K,6,687,129,0.188,161,0.23399999999999999
2019-2020,Alameda,Fremont Unified,James Leitch Elementary,Elementary Schools (Public),Traditional,K,3,791,38,0.048,43,0.054000000000000006
2019-2020,Alameda,Fremont Unified,Joseph Azevada Elementary,Elementary Schools (Public),Traditional,K,6,626,95,0.152,113,0.18100000000000002
2019-2020,Alameda,Fremont Unified,Tom Maloney Elementary,Elementary Schools (Public),Traditional,K,6,604,84,0.139,113,0.187
2019-2020,Alameda,Fremont Unified,John G. Mattos Elementary,Elementary Schools (Public),Traditional,K,6,488,55,0.113,71,0.145
2019-2020,Alameda,Fremont Unified,Mission Valley Elementary,Elementary Schools (Public),Traditional,K,6,620,59,0.095,65,0.105
2019-2020,Alameda,Fremont Unified,Niles Elementary,Elementary Schools (Public),Traditional,K,6,629,53,0.084,73,0.11599999999999999
2019-2020,Alameda,Fremont Unified,O. N. Hirsch Elementary,Elementary Schools (Public),Traditional,K,6,597,102,0.171,125,0.209
2019-2020,Alameda,Fremont Unified,Parkmont Elementary,Elementary Schools (Public),Traditional,K,6,910,85,0.09300000000000001,103,0.113
2019-2020,Alameda,Fremont Unified,Patterson Elementary,Elementary Schools (Public),Traditional,K,6,772,140,0.18100000000000002,161,0.209
2019-2020,Alameda,Fremont Unified,Vallejo Mill Elementary,Elementary Schools (Public),Traditional,K,6,535,115,0.215,139,0.26
2019-2020,Alameda,Fremont Unified,Warm Springs Elementary,Elementary Schools (Public),Traditional,3,6,1067,33,0.031,41,0.038
2019-2020,Alameda,Fremont Unified,Centerville Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,1003,232,0.231,303,0.302
2019-2020,Alameda,Fremont Unified,G. M. Walters Middle,Intermediate/Middle Schools (Public),Traditional,6,8,1021,339,0.332,439,0.43
2019-2020,Alameda,Fremont Unified,John M. Horner Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,1178,178,0.151,214,0.182
2019-2020,Alameda,Fremont Unified,Thornton Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,1273,170,0.134,209,0.16399999999999998
2019-2020,Alameda,Fremont Unified,William Hopkins Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,1028,66,0.064,81,0.079
2019-2020,Alameda,Fremont Unified,John Gomes Elementary,Elementary Schools (Public),Traditional,K,6,724,37,0.051,45,0.062
2019-2020,Alameda,Fremont Unified,Brookvale Elementary,Elementary Schools (Public),Traditional,K,6,600,75,0.125,81,0.135
2019-2020,Alameda,Fremont Unified,Warwick Elementary,Elementary Schools (Public),Traditional,K,6,955,106,0.111,127,0.133
2019-2020,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Elementary Schools (Public),Traditional,K,6,692,47,0.068,52,0.075
2019-2020,Alameda,Fremont Unified,Mission San Jose Elementary,Elementary Schools (Public),Traditional,K,6,519,26,0.05,30,0.057999999999999996
2019-2020,Alameda,Fremont Unified,Oliveira Elementary,Elementary Schools (Public),Traditional,K,6,776,116,0.149,158,0.204
2019-2020,Alameda,Fremont Unified,Steven Millard Elementary,Elementary Schools (Public),Traditional,K,6,528,66,0.125,90,0.17
2019-2020,Alameda,Fremont Unified,Ardenwood Elementary,Elementary Schools (Public),Traditional,K,6,944,78,0.083,93,0.099
2019-2020,Alameda,Fremont Unified,Fred E. Weibel Elementary,Elementary Schools (Public),Traditional,K,6,742,48,0.065,58,0.078
2019-2020,Alameda,Fremont Unified,Forest Park Elementary,Elementary Schools (Public),Traditional,K,6,1059,64,0.06,73,0.069
2019-2020,Alameda,Hayward Unified,District Office,,,P,Adult,58,16,0.276,22,0.379
2019-2020,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",,,,,43,16,0.37200000000000005,16,0.37200000000000005
2019-2020,Alameda,Hayward Unified,Leadership Public Schools - Hayward,High Schools (Public),Traditional,9,12,601,241,0.401,351,0.584
2019-2020,Alameda,Hayward Unified,Stonebrae Elementary,Elementary Schools (Public),Traditional,K,6,742,333,0.449,380,0.512
2019-2020,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Elementary Schools (Public),Traditional,1,8,274,43,0.157,57,0.20800000000000002
2019-2020,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Elementary Schools (Public),Traditional,K,8,589,263,0.447,308,0.523
2019-2020,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,High Schools (Public),Traditional,9,12,219,105,0.479,125,0.5710000000000001
2019-2020,Alameda,Hayward Unified,Highland,Special Education Schools (Public),Special Education School,K,12,21,18,0.857,18,0.857
2019-2020,Alameda,Hayward Unified,Brenkwitz High,Continuation High Schools,Continuation School,9,12,216,161,0.745,178,0.8240000000000001
2019-2020,Alameda,Hayward Unified,Hayward High,High Schools (Public),Traditional,9,12,1617,930,0.575,1099,0.68
2019-2020,Alameda,Hayward Unified,Mt. Eden High,High Schools (Public),Traditional,9,12,1999,1107,0.5539999999999999,1333,0.667
2019-2020,Alameda,Hayward Unified,Impact Academy of Arts & Technology,K-12 Schools (Public),Traditional,6,12,844,378,0.44799999999999995,504,0.597
2019-2020,Alameda,Hayward Unified,Tennyson High,High Schools (Public),Traditional,9,12,1518,1053,0.6940000000000001,1179,0.777
2019-2020,Alameda,Hayward Unified,Bowman Elementary,Elementary Schools (Public),Traditional,K,6,316,206,0.652,239,0.7559999999999999
2019-2020,Alameda,Hayward Unified,Burbank Elementary,Elementary Schools (Public),Traditional,K,6,869,507,0.583,620,0.713
2019-2020,Alameda,Hayward Unified,Cherryland Elementary,Elementary Schools (Public),Traditional,K,6,791,513,0.649,577,0.7290000000000001
2019-2020,Alameda,Hayward Unified,East Avenue Elementary,Elementary Schools (Public),Traditional,K,6,561,331,0.59,377,0.672
2019-2020,Alameda,Hayward Unified,Eldridge Elementary,Elementary Schools (Public),Traditional,K,6,362,227,0.627,278,0.768
2019-2020,Alameda,Hayward Unified,Fairview Elementary,Elementary Schools (Public),Traditional,K,6,516,299,0.579,361,0.7
2019-2020,Alameda,Hayward Unified,Glassbrook Elementary,Elementary Schools (Public),Traditional,K,6,502,367,0.731,401,0.799
2019-2020,Alameda,Hayward Unified,Harder Elementary,Elementary Schools (Public),Traditional,K,6,466,313,0.672,346,0.742
2019-2020,Alameda,Hayward Unified,Longwood Elementary,Elementary Schools (Public),Traditional,K,6,615,438,0.7120000000000001,502,0.816
2019-2020,Alameda,Hayward Unified,Lorin A. Eden Elementary,Elementary Schools (Public),Traditional,K,6,370,176,0.47600000000000003,215,0.581
2019-2020,Alameda,Hayward Unified,Palma Ceia Elementary,Elementary Schools (Public),Traditional,K,6,561,345,0.615,407,0.725
2019-2020,Alameda,Hayward Unified,Park Elementary,Elementary Schools (Public),Traditional,K,6,510,364,0.7140000000000001,410,0.804
2019-2020,Alameda,Hayward Unified,Ruus Elementary,Elementary Schools (Public),Traditional,K,6,481,293,0.609,350,0.728
2019-2020,Alameda,Hayward Unified,Schafer Park Elementary,Elementary Schools (Public),Traditional,K,6,786,496,0.631,553,0.7040000000000001
2019-2020,Alameda,Hayward Unified,Southgate Elementary,Elementary Schools (Public),Traditional,K,6,678,326,0.48100000000000004,413,0.609
2019-2020,Alameda,Hayward Unified,Treeview Elementary,Elementary Schools (Public),Traditional,K,6,443,286,0.6459999999999999,334,0.754
2019-2020,Alameda,Hayward Unified,Bret Harte Middle,Intermediate/Middle Schools (Public),Traditional,7,8,632,356,0.563,430,0.68
2019-2020,Alameda,Hayward Unified,Cesar Chavez Middle,Intermediate/Middle Schools (Public),Traditional,7,8,537,345,0.642,404,0.752
2019-2020,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Intermediate/Middle Schools (Public),Traditional,7,8,538,300,0.5579999999999999,367,0.682
2019-2020,Alameda,Hayward Unified,Winton Middle,Intermediate/Middle Schools (Public),Traditional,7,8,534,366,0.685,424,0.794
2019-2020,Alameda,Hayward Unified,Strobridge Elementary,Elementary Schools (Public),Traditional,K,6,465,266,0.5720000000000001,311,0.669
2019-2020,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Intermediate/Middle Schools (Public),Traditional,7,8,747,471,0.631,530,0.71
2019-2020,Alameda,Hayward Unified,Eden Gardens Elementary,Elementary Schools (Public),Traditional,K,6,530,267,0.504,311,0.5870000000000001
2019-2020,Alameda,Hayward Unified,Tyrrell Elementary,Elementary Schools (Public),Traditional,K,6,640,465,0.727,508,0.794
2019-2020,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Elementary Schools (Public),Traditional,K,8,138,94,0.6809999999999999,111,0.804
2019-2020,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",,,,,18,3,0.16699999999999998,3,0.16699999999999998
2019-2020,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Alternative Schools of Choice,Alternative School of Choice,1,12,107,24,0.22399999999999998,26,0.243
2019-2020,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Continuation High Schools,Continuation School,7,12,135,64,0.474,69,0.511
2019-2020,Alameda,Livermore Valley Joint Unified,Granada High,High Schools (Public),Traditional,9,12,2292,410,0.179,452,0.19699999999999998
2019-2020,Alameda,Livermore Valley Joint Unified,Livermore High,High Schools (Public),Traditional,9,12,1856,396,0.213,455,0.245
2019-2020,Alameda,Livermore Valley Joint Unified,Lawrence Elementary,Elementary Schools (Public),Traditional,K,5,368,53,0.14400000000000002,54,0.147
2019-2020,Alameda,Livermore Valley Joint Unified,Junction K-8,Elementary Schools (Public),Traditional,K,8,992,535,0.539,582,0.5870000000000001
2019-2020,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Intermediate/Middle Schools (Public),Traditional,6,8,648,179,0.276,196,0.302
2019-2020,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Elementary Schools (Public),Traditional,K,5,712,48,0.067,52,0.073
2019-2020,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Elementary Schools (Public),Traditional,K,5,549,192,0.35,209,0.381
2019-2020,Alameda,Livermore Valley Joint Unified,Joe Michell,Elementary Schools (Public),Traditional,K,8,783,120,0.153,140,0.179
2019-2020,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Elementary Schools (Public),Traditional,K,5,379,240,0.633,274,0.723
2019-2020,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Intermediate/Middle Schools (Public),Traditional,6,8,961,62,0.065,70,0.073
2019-2020,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Elementary Schools (Public),Traditional,K,5,665,130,0.195,147,0.221
2019-2020,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Intermediate/Middle Schools (Public),Traditional,6,8,690,126,0.183,146,0.212
2019-2020,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Elementary Schools (Public),Traditional,K,5,597,102,0.171,120,0.201
2019-2020,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Elementary Schools (Public),Traditional,K,5,761,55,0.07200000000000001,57,0.075
2019-2020,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Elementary Schools (Public),Traditional,P,5,596,141,0.237,157,0.263
2019-2020,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Elementary Schools (Public),Traditional,K,5,613,73,0.11900000000000001,79,0.129
2019-2020,Alameda,Mountain House Elementary,Mountain House Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,K,8,15,12,0.8,12,0.8
2019-2020,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",,,,,9,4,0.444,4,0.444
2019-2020,Alameda,Newark Unified,Newark Memorial High,High Schools (Public),Traditional,9,12,1668,613,0.368,726,0.435
2019-2020,Alameda,Newark Unified,Crossroads High (Alternative),Alternative Schools of Choice,Alternative School of Choice,K,12,37,26,0.703,27,0.73
2019-2020,Alameda,Newark Unified,Bridgepoint High (Continuation),Continuation High Schools,Continuation School,9,12,75,40,0.5329999999999999,47,0.627
2019-2020,Alameda,Newark Unified,August Schilling Elementary,Elementary Schools (Public),Traditional,K,6,375,229,0.611,261,0.696
2019-2020,Alameda,Newark Unified,E. L. Musick Elementary,Elementary Schools (Public),Traditional,K,6,274,133,0.485,153,0.5579999999999999
2019-2020,Alameda,Newark Unified,H. A. Snow Elementary,Elementary Schools (Public),Traditional,K,6,307,123,0.401,142,0.46299999999999997
2019-2020,Alameda,Newark Unified,James A. Graham Elementary,Elementary Schools (Public),Traditional,K,6,363,183,0.504,213,0.5870000000000001
2019-2020,Alameda,Newark Unified,Birch Grove Primary,Elementary Schools (Public),Traditional,K,6,415,98,0.23600000000000002,119,0.287
2019-2020,Alameda,Newark Unified,John F. Kennedy Elementary,Elementary Schools (Public),Traditional,K,6,402,100,0.249,112,0.27899999999999997
2019-2020,Alameda,Newark Unified,Lincoln Elementary,Elementary Schools (Public),Traditional,K,6,388,153,0.39399999999999996,187,0.48200000000000004
2019-2020,Alameda,Newark Unified,Birch Grove Intermediate,Elementary Schools (Public),Traditional,3,6,463,146,0.315,163,0.35200000000000004
2019-2020,Alameda,Newark Unified,Newark Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,893,403,0.451,460,0.515
2019-2020,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",,,,,23,7,0.304,7,0.304
2019-2020,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Continuation High Schools,Continuation School,9,12,104,51,0.49,61,0.5870000000000001
2019-2020,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Alternative Schools of Choice,Alternative School of Choice,9,12,9,7,0.778,7,0.778
2019-2020,Alameda,New Haven Unified,Decoto School for Independent Study,Alternative Schools of Choice,Alternative School of Choice,K,12,134,59,0.44,67,0.5
2019-2020,Alameda,New Haven Unified,James Logan High,High Schools (Public),Traditional,9,12,3650,1203,0.33,1613,0.442
2019-2020,Alameda,New Haven Unified,Alvarado Elementary,Elementary Schools (Public),Traditional,K,5,709,246,0.34700000000000003,336,0.474
2019-2020,Alameda,New Haven Unified,Hillview Crest Elementary,Elementary Schools (Public),Traditional,K,5,494,289,0.585,345,0.698
2019-2020,Alameda,New Haven Unified,Searles Elementary,Elementary Schools (Public),Traditional,K,5,717,379,0.529,440,0.614
2019-2020,Alameda,New Haven Unified,Itliong-Vera Cruz,Intermediate/Middle Schools (Public),Traditional,6,8,1337,336,0.251,481,0.36
2019-2020,Alameda,New Haven Unified,Cesar Chavez Middle,Intermediate/Middle Schools (Public),Traditional,6,8,1110,549,0.495,665,0.599
2019-2020,Alameda,New Haven Unified,Pioneer Elementary,Elementary Schools (Public),Traditional,K,5,733,204,0.278,259,0.353
2019-2020,Alameda,New Haven Unified,Tom Kitayama Elementary,Elementary Schools (Public),Traditional,K,5,747,229,0.307,291,0.39
