Academic Year,County Name,District Name,School Name,School Type,Educational_Type,Low Grade,High Grade,1819_Enrollment,1819_Free_Meal_Count,1819_Free_Meal_Percent,1819_FRPM_Count,1819_FRPM_Percent
2018-2019,Alameda,Alameda Unified,Encinal Junior/Senior High,K-12 Schools (Public),Traditional,6,12,1261,452,0.358,498,0.395
2018-2019,Alameda,Alameda Unified,Island High (Continuation),Continuation High Schools,Continuation School,9,12,96,50,0.521,52,0.542
2018-2019,Alameda,Alameda Unified,Donald D. Lum Elementary,Elementary Schools (Public),Traditional,5,5,30,8,0.267,8,0.267
2018-2019,Alameda,Alameda Unified,Edison Elementary,Elementary Schools (Public),Traditional,K,5,469,54,0.115,60,0.128
2018-2019,Alameda,Alameda Unified,Frank Otis Elementary,Elementary Schools (Public),Traditional,K,5,640,87,0.136,101,0.158
2018-2019,Alameda,Alameda Unified,Franklin Elementary,Elementary Schools (Public),Traditional,K,5,335,62,0.185,70,0.209
2018-2019,Alameda,Alameda Unified,Henry Haight Elementary,Elementary Schools (Public),Traditional,K,5,544,226,0.415,251,0.461
2018-2019,Alameda,Alameda Unified,Lincoln Middle,Intermediate/Middle Schools (Public),Traditional,6,8,872,119,0.136,134,0.154
2018-2019,Alameda,Alameda Unified,Will C. Wood Middle,Intermediate/Middle Schools (Public),Traditional,6,8,575,226,0.39299999999999996,250,0.435
2018-2019,Alameda,Alameda Unified,William G. Paden Elementary,Elementary Schools (Public),Traditional,K,5,397,159,0.401,181,0.456
2018-2019,Alameda,Alameda Unified,Amelia Earhart Elementary,Elementary Schools (Public),Traditional,K,5,651,69,0.106,76,0.11699999999999999
2018-2019,Alameda,Alameda Unified,Bay Farm,Elementary Schools (Public),Traditional,K,8,610,54,0.08900000000000001,60,0.098
2018-2019,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",,,,,6,1,0.16699999999999998,1,0.16699999999999998
2018-2019,Alameda,Albany City Unified,MacGregor High (Continuation),Continuation High Schools,Continuation School,10,12,8,4,0.5,4,0.5
2018-2019,Alameda,Albany City Unified,Albany High,High Schools (Public),Traditional,9,12,1168,190,0.163,214,0.183
2018-2019,Alameda,Albany City Unified,Cornell Elementary,Elementary Schools (Public),Traditional,K,5,561,69,0.12300000000000001,76,0.135
2018-2019,Alameda,Albany City Unified,Albany Middle,Intermediate/Middle Schools (Public),Traditional,6,8,862,160,0.18600000000000003,190,0.22
2018-2019,Alameda,Albany City Unified,Marin Elementary,Elementary Schools (Public),Traditional,K,5,504,66,0.131,82,0.163
2018-2019,Alameda,Albany City Unified,Ocean View Elementary,Elementary Schools (Public),Traditional,K,5,573,173,0.302,191,0.33299999999999996
2018-2019,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",,,,,40,7,0.175,7,0.175
2018-2019,Alameda,Berkeley Unified,Berkeley High,High Schools (Public),Traditional,9,12,3154,739,0.23399999999999999,823,0.261
2018-2019,Alameda,Berkeley Unified,Berkeley Technology Academy,Continuation High Schools,Continuation School,10,12,47,36,0.7659999999999999,37,0.787
2018-2019,Alameda,Berkeley Unified,REALM Charter,K-12 Schools (Public),Traditional,6,12,383,216,0.564,240,0.627
2018-2019,Alameda,Berkeley Unified,Martin Luther King Middle,Intermediate/Middle Schools (Public),Traditional,6,8,989,208,0.21,249,0.252
2018-2019,Alameda,Berkeley Unified,Willard Middle,Intermediate/Middle Schools (Public),Traditional,6,8,667,198,0.297,237,0.355
2018-2019,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Elementary Schools (Public),Traditional,K,5,449,88,0.196,98,0.218
2018-2019,Alameda,Berkeley Unified,Cragmont Elementary,Elementary Schools (Public),Traditional,K,5,377,104,0.276,117,0.31
2018-2019,Alameda,Berkeley Unified,Emerson Elementary,Elementary Schools (Public),Traditional,K,5,320,104,0.325,110,0.344
2018-2019,Alameda,Berkeley Unified,Jefferson Elementary,Elementary Schools (Public),Traditional,K,5,401,83,0.207,95,0.237
2018-2019,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Elementary Schools (Public),Traditional,K,5,398,109,0.27399999999999997,125,0.314
2018-2019,Alameda,Berkeley Unified,Malcolm X Elementary,Elementary Schools (Public),Traditional,K,5,557,127,0.228,143,0.257
2018-2019,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Intermediate/Middle Schools (Public),Traditional,6,8,497,248,0.499,297,0.598
2018-2019,Alameda,Berkeley Unified,Oxford Elementary,Elementary Schools (Public),Traditional,K,5,281,73,0.26,94,0.335
2018-2019,Alameda,Berkeley Unified,Thousand Oaks Elementary,Elementary Schools (Public),Traditional,K,5,403,135,0.335,154,0.382
2018-2019,Alameda,Berkeley Unified,Washington Elementary,Elementary Schools (Public),Traditional,K,5,501,130,0.259,143,0.285
2018-2019,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Elementary Schools (Public),Traditional,K,5,425,110,0.259,129,0.304
2018-2019,Alameda,Berkeley Unified,John Muir Elementary,Elementary Schools (Public),Traditional,K,5,305,90,0.295,105,0.344
2018-2019,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",,,,,14,2,0.14300000000000002,2,0.14300000000000002
2018-2019,Alameda,Castro Valley Unified,Roy A. Johnson High,Special Education Schools (Public),Special Education School,9,12,17,5,0.294,6,0.353
2018-2019,Alameda,Castro Valley Unified,Castro Valley High,High Schools (Public),Traditional,9,12,2834,520,0.183,629,0.222
2018-2019,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,K-12 Schools (Public),Traditional,K,12,14,2,0.14300000000000002,2,0.14300000000000002
2018-2019,Alameda,Castro Valley Unified,Redwood Continuation High,Continuation High Schools,Continuation School,9,12,125,47,0.376,50,0.4
2018-2019,Alameda,Castro Valley Unified,Castro Valley Elementary,Elementary Schools (Public),Traditional,K,5,506,187,0.37,233,0.46
2018-2019,Alameda,Castro Valley Unified,Chabot Elementary,Elementary Schools (Public),Traditional,K,5,464,82,0.177,98,0.21100000000000002
2018-2019,Alameda,Castro Valley Unified,Creekside Middle,Intermediate/Middle Schools (Public),Traditional,6,8,781,145,0.18600000000000003,185,0.237
2018-2019,Alameda,Castro Valley Unified,Independent Elementary,Elementary Schools (Public),Traditional,K,5,626,87,0.139,98,0.157
2018-2019,Alameda,Castro Valley Unified,Marshall Elementary,Elementary Schools (Public),Traditional,K,5,490,135,0.276,169,0.345
2018-2019,Alameda,Castro Valley Unified,Palomares Elementary,Elementary Schools (Public),Traditional,K,5,143,30,0.21,32,0.22399999999999998
2018-2019,Alameda,Castro Valley Unified,Proctor Elementary,Elementary Schools (Public),Traditional,K,5,511,74,0.145,90,0.17600000000000002
2018-2019,Alameda,Castro Valley Unified,Stanton Elementary,Elementary Schools (Public),Traditional,K,5,493,149,0.302,179,0.363
2018-2019,Alameda,Castro Valley Unified,Vannoy Elementary,Elementary Schools (Public),Traditional,K,5,436,56,0.128,61,0.14
2018-2019,Alameda,Castro Valley Unified,Canyon Middle,Intermediate/Middle Schools (Public),Traditional,6,8,1391,282,0.203,333,0.239
2018-2019,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Elementary Schools (Public),Traditional,K,5,424,38,0.09,47,0.111
2018-2019,Alameda,Emery Unified,Emery Secondary,High Schools (Public),Traditional,9,12,209,155,0.742,170,0.813
2018-2019,Alameda,Emery Unified,Anna Yates Elementary,Elementary Schools (Public),Traditional,K,8,534,373,0.6990000000000001,426,0.7979999999999999
2018-2019,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",,,,,49,9,0.184,9,0.184
2018-2019,Alameda,Fremont Unified,Young Adult Program,Special Education Schools (Public),Special Education School,9,12,41,7,0.171,7,0.171
2018-2019,Alameda,Fremont Unified,American High,High Schools (Public),Traditional,9,12,2448,411,0.168,492,0.201
2018-2019,Alameda,Fremont Unified,Robertson High (Continuation),Continuation High Schools,Continuation School,9,12,176,91,0.517,102,0.58
2018-2019,Alameda,Fremont Unified,Vista Alternative,Alternative Schools of Choice,Alternative School of Choice,7,12,34,17,0.5,19,0.5589999999999999
2018-2019,Alameda,Fremont Unified,Circle of Independent Learning,K-12 Schools (Public),Traditional,K,12,368,96,0.261,118,0.321
2018-2019,Alameda,Fremont Unified,Irvington High,High Schools (Public),Traditional,9,12,2294,312,0.136,383,0.16699999999999998
2018-2019,Alameda,Fremont Unified,John F. Kennedy High,High Schools (Public),Traditional,9,12,1292,419,0.324,559,0.433
2018-2019,Alameda,Fremont Unified,Mission San Jose High,High Schools (Public),Traditional,9,12,2046,119,0.057999999999999996,138,0.067
2018-2019,Alameda,Fremont Unified,Washington High,High Schools (Public),Traditional,9,12,1918,463,0.24100000000000002,568,0.29600000000000004
2018-2019,Alameda,Fremont Unified,John Blacow Elementary,Elementary Schools (Public),Traditional,K,6,447,151,0.33799999999999997,196,0.43799999999999994
2018-2019,Alameda,Fremont Unified,Brier Elementary,Elementary Schools (Public),Traditional,K,6,717,222,0.31,286,0.39899999999999997
2018-2019,Alameda,Fremont Unified,Cabrillo Elementary,Elementary Schools (Public),Traditional,K,6,418,174,0.41600000000000004,222,0.531
2018-2019,Alameda,Fremont Unified,E. M. Grimmer Elementary,Elementary Schools (Public),Traditional,K,6,481,173,0.36,214,0.445
2018-2019,Alameda,Fremont Unified,Glenmoor Elementary,Elementary Schools (Public),Traditional,K,6,663,171,0.258,209,0.315
2018-2019,Alameda,Fremont Unified,Harvey Green Elementary,Elementary Schools (Public),Traditional,K,6,517,139,0.26899999999999996,162,0.313
2018-2019,Alameda,Fremont Unified,J. Haley Durham Elementary,Elementary Schools (Public),Traditional,K,6,707,131,0.185,167,0.23600000000000002
2018-2019,Alameda,Fremont Unified,James Leitch Elementary,Elementary Schools (Public),Traditional,K,3,857,36,0.042,41,0.048
2018-2019,Alameda,Fremont Unified,Joseph Azevada Elementary,Elementary Schools (Public),Traditional,K,6,650,111,0.171,146,0.225
2018-2019,Alameda,Fremont Unified,Tom Maloney Elementary,Elementary Schools (Public),Traditional,K,6,589,90,0.153,117,0.19899999999999998
2018-2019,Alameda,Fremont Unified,John G. Mattos Elementary,Elementary Schools (Public),Traditional,K,6,607,89,0.147,108,0.17800000000000002
2018-2019,Alameda,Fremont Unified,Mission Valley Elementary,Elementary Schools (Public),Traditional,K,6,655,50,0.076,57,0.087
2018-2019,Alameda,Fremont Unified,Niles Elementary,Elementary Schools (Public),Traditional,K,6,588,60,0.102,77,0.131
2018-2019,Alameda,Fremont Unified,O. N. Hirsch Elementary,Elementary Schools (Public),Traditional,K,6,570,110,0.193,132,0.23199999999999998
2018-2019,Alameda,Fremont Unified,Parkmont Elementary,Elementary Schools (Public),Traditional,K,6,885,90,0.102,99,0.11199999999999999
2018-2019,Alameda,Fremont Unified,Patterson Elementary,Elementary Schools (Public),Traditional,K,6,786,153,0.195,182,0.23199999999999998
2018-2019,Alameda,Fremont Unified,Vallejo Mill Elementary,Elementary Schools (Public),Traditional,K,6,519,124,0.239,151,0.29100000000000004
2018-2019,Alameda,Fremont Unified,Warm Springs Elementary,Elementary Schools (Public),Traditional,3,6,1054,44,0.042,54,0.051
2018-2019,Alameda,Fremont Unified,Centerville Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,972,242,0.249,290,0.298
2018-2019,Alameda,Fremont Unified,G. M. Walters Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,727,229,0.315,308,0.424
2018-2019,Alameda,Fremont Unified,John M. Horner Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,1245,181,0.145,218,0.175
2018-2019,Alameda,Fremont Unified,Thornton Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,1297,186,0.14300000000000002,224,0.17300000000000001
2018-2019,Alameda,Fremont Unified,William Hopkins Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,1060,69,0.065,81,0.076
2018-2019,Alameda,Fremont Unified,John Gomes Elementary,Elementary Schools (Public),Traditional,K,6,746,37,0.05,45,0.06
2018-2019,Alameda,Fremont Unified,Brookvale Elementary,Elementary Schools (Public),Traditional,K,6,708,86,0.121,93,0.131
2018-2019,Alameda,Fremont Unified,Warwick Elementary,Elementary Schools (Public),Traditional,K,6,912,112,0.12300000000000001,141,0.155
2018-2019,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Elementary Schools (Public),Traditional,K,6,734,39,0.053,45,0.061
2018-2019,Alameda,Fremont Unified,Mission San Jose Elementary,Elementary Schools (Public),Traditional,K,6,535,18,0.034,21,0.039
2018-2019,Alameda,Fremont Unified,Oliveira Elementary,Elementary Schools (Public),Traditional,K,6,885,169,0.191,208,0.235
2018-2019,Alameda,Fremont Unified,Steven Millard Elementary,Elementary Schools (Public),Traditional,K,6,577,86,0.149,119,0.20600000000000002
2018-2019,Alameda,Fremont Unified,Ardenwood Elementary,Elementary Schools (Public),Traditional,K,6,963,90,0.09300000000000001,102,0.106
2018-2019,Alameda,Fremont Unified,Fred E. Weibel Elementary,Elementary Schools (Public),Traditional,K,6,796,57,0.07200000000000001,62,0.078
2018-2019,Alameda,Fremont Unified,Forest Park Elementary,Elementary Schools (Public),Traditional,K,6,1011,45,0.045,51,0.05
2018-2019,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",,,,,63,12,0.19,12,0.19
2018-2019,Alameda,Hayward Unified,Leadership Public Schools - Hayward,High Schools (Public),Traditional,9,12,595,255,0.429,370,0.622
2018-2019,Alameda,Hayward Unified,Stonebrae Elementary,Elementary Schools (Public),Traditional,K,6,745,357,0.479,412,0.5529999999999999
2018-2019,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Elementary Schools (Public),Traditional,1,8,249,42,0.16899999999999998,49,0.19699999999999998
2018-2019,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Elementary Schools (Public),Traditional,K,8,563,288,0.512,321,0.57
2018-2019,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,High Schools (Public),Traditional,9,12,218,110,0.505,130,0.596
2018-2019,Alameda,Hayward Unified,Highland,Special Education Schools (Public),Special Education School,K,12,23,18,0.7829999999999999,20,0.87
2018-2019,Alameda,Hayward Unified,Brenkwitz High,Continuation High Schools,Continuation School,9,12,161,109,0.677,115,0.7140000000000001
2018-2019,Alameda,Hayward Unified,Hayward High,High Schools (Public),Traditional,9,12,1637,988,0.604,1125,0.687
2018-2019,Alameda,Hayward Unified,Mt. Eden High,High Schools (Public),Traditional,9,12,1979,1109,0.56,1294,0.654
2018-2019,Alameda,Hayward Unified,Impact Academy of Arts & Technology,K-12 Schools (Public),Traditional,6,12,842,430,0.511,541,0.643
2018-2019,Alameda,Hayward Unified,Tennyson High,High Schools (Public),Traditional,9,12,1423,978,0.687,1086,0.763
2018-2019,Alameda,Hayward Unified,Bowman Elementary,Elementary Schools (Public),Traditional,K,6,301,199,0.6609999999999999,229,0.7609999999999999
2018-2019,Alameda,Hayward Unified,Burbank Elementary,Elementary Schools (Public),Traditional,K,6,867,528,0.609,630,0.727
2018-2019,Alameda,Hayward Unified,Cherryland Elementary,Elementary Schools (Public),Traditional,K,6,746,534,0.716,567,0.76
2018-2019,Alameda,Hayward Unified,East Avenue Elementary,Elementary Schools (Public),Traditional,K,6,568,333,0.586,388,0.6829999999999999
2018-2019,Alameda,Hayward Unified,Eldridge Elementary,Elementary Schools (Public),Traditional,K,6,378,253,0.669,296,0.7829999999999999
2018-2019,Alameda,Hayward Unified,Fairview Elementary,Elementary Schools (Public),Traditional,K,6,549,349,0.636,406,0.74
2018-2019,Alameda,Hayward Unified,Glassbrook Elementary,Elementary Schools (Public),Traditional,K,6,515,399,0.775,414,0.804
2018-2019,Alameda,Hayward Unified,Harder Elementary,Elementary Schools (Public),Traditional,K,6,569,426,0.7490000000000001,453,0.7959999999999999
2018-2019,Alameda,Hayward Unified,Longwood Elementary,Elementary Schools (Public),Traditional,K,6,651,491,0.754,516,0.7929999999999999
2018-2019,Alameda,Hayward Unified,Lorin A. Eden Elementary,Elementary Schools (Public),Traditional,K,6,389,210,0.54,243,0.625
2018-2019,Alameda,Hayward Unified,Palma Ceia Elementary,Elementary Schools (Public),Traditional,K,6,551,366,0.664,417,0.757
2018-2019,Alameda,Hayward Unified,Park Elementary,Elementary Schools (Public),Traditional,K,6,532,386,0.726,447,0.84
2018-2019,Alameda,Hayward Unified,Ruus Elementary,Elementary Schools (Public),Traditional,K,6,486,304,0.626,352,0.7240000000000001
2018-2019,Alameda,Hayward Unified,Schafer Park Elementary,Elementary Schools (Public),Traditional,K,6,778,530,0.6809999999999999,563,0.7240000000000001
2018-2019,Alameda,Hayward Unified,Southgate Elementary,Elementary Schools (Public),Traditional,K,6,677,368,0.544,437,0.645
2018-2019,Alameda,Hayward Unified,Treeview Elementary,Elementary Schools (Public),Traditional,K,6,461,311,0.675,347,0.753
2018-2019,Alameda,Hayward Unified,Bret Harte Middle,Intermediate/Middle Schools (Public),Traditional,7,8,605,339,0.56,411,0.679
2018-2019,Alameda,Hayward Unified,Cesar Chavez Middle,Intermediate/Middle Schools (Public),Traditional,7,8,554,357,0.644,389,0.7020000000000001
2018-2019,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Intermediate/Middle Schools (Public),Traditional,7,8,588,323,0.5489999999999999,392,0.667
2018-2019,Alameda,Hayward Unified,Winton Middle,Intermediate/Middle Schools (Public),Traditional,7,8,505,349,0.691,374,0.741
2018-2019,Alameda,Hayward Unified,Strobridge Elementary,Elementary Schools (Public),Traditional,K,6,492,324,0.659,351,0.713
2018-2019,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Intermediate/Middle Schools (Public),Traditional,7,8,757,452,0.597,500,0.6609999999999999
2018-2019,Alameda,Hayward Unified,Eden Gardens Elementary,Elementary Schools (Public),Traditional,K,6,552,314,0.569,351,0.636
2018-2019,Alameda,Hayward Unified,Tyrrell Elementary,Elementary Schools (Public),Traditional,K,6,675,550,0.815,571,0.846
2018-2019,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Elementary Schools (Public),Traditional,K,8,132,83,0.629,101,0.765
2018-2019,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",,,,,21,3,0.14300000000000002,3,0.14300000000000002
2018-2019,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Alternative Schools of Choice,Alternative School of Choice,1,12,136,41,0.301,41,0.301
2018-2019,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Continuation High Schools,Continuation School,7,12,111,70,0.631,75,0.6759999999999999
2018-2019,Alameda,Livermore Valley Joint Unified,Granada High,High Schools (Public),Traditional,9,12,2282,416,0.182,463,0.203
2018-2019,Alameda,Livermore Valley Joint Unified,Livermore High,High Schools (Public),Traditional,9,12,1878,401,0.214,458,0.244
2018-2019,Alameda,Livermore Valley Joint Unified,Lawrence Elementary,Elementary Schools (Public),Traditional,K,5,357,43,0.12,48,0.134
2018-2019,Alameda,Livermore Valley Joint Unified,Junction K-8,Elementary Schools (Public),Traditional,K,8,934,518,0.555,580,0.621
2018-2019,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Intermediate/Middle Schools (Public),Traditional,6,8,649,175,0.27,196,0.302
2018-2019,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Elementary Schools (Public),Traditional,K,5,719,53,0.07400000000000001,54,0.075
2018-2019,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Elementary Schools (Public),Traditional,K,5,526,189,0.359,206,0.392
2018-2019,Alameda,Livermore Valley Joint Unified,Joe Michell,Elementary Schools (Public),Traditional,K,8,819,132,0.161,164,0.2
2018-2019,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Elementary Schools (Public),Traditional,K,5,392,286,0.73,305,0.778
2018-2019,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Intermediate/Middle Schools (Public),Traditional,6,8,965,72,0.075,82,0.085
2018-2019,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Elementary Schools (Public),Traditional,K,5,678,150,0.221,158,0.233
2018-2019,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Intermediate/Middle Schools (Public),Traditional,6,8,715,120,0.168,139,0.19399999999999998
2018-2019,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Elementary Schools (Public),Traditional,K,5,599,129,0.215,143,0.239
2018-2019,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Elementary Schools (Public),Traditional,K,5,771,45,0.057999999999999996,51,0.066
2018-2019,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Elementary Schools (Public),Traditional,P,5,601,134,0.223,151,0.251
2018-2019,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Elementary Schools (Public),Traditional,K,5,585,92,0.157,100,0.171
2018-2019,Alameda,Mountain House Elementary,Mountain House Elementary,Elemen Schools In 1 School Dist. (Public),Traditional,K,8,17,8,0.47100000000000003,11,0.647
2018-2019,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",,,,,9,2,0.222,2,0.222
2018-2019,Alameda,Newark Unified,Newark Memorial High,High Schools (Public),Traditional,9,12,1711,671,0.392,778,0.455
2018-2019,Alameda,Newark Unified,Crossroads High (Alternative),Alternative Schools of Choice,Alternative School of Choice,K,12,43,26,0.605,26,0.605
2018-2019,Alameda,Newark Unified,Bridgepoint High (Continuation),Continuation High Schools,Continuation School,9,12,66,44,0.667,49,0.742
2018-2019,Alameda,Newark Unified,August Schilling Elementary,Elementary Schools (Public),Traditional,K,6,378,244,0.6459999999999999,281,0.743
2018-2019,Alameda,Newark Unified,E. L. Musick Elementary,Elementary Schools (Public),Traditional,K,6,283,155,0.5479999999999999,176,0.622
2018-2019,Alameda,Newark Unified,H. A. Snow Elementary,Elementary Schools (Public),Traditional,K,6,343,144,0.42,176,0.513
2018-2019,Alameda,Newark Unified,James A. Graham Elementary,Elementary Schools (Public),Traditional,K,6,375,208,0.555,240,0.64
2018-2019,Alameda,Newark Unified,Birch Grove Primary,Elementary Schools (Public),Traditional,K,6,418,102,0.244,118,0.282
2018-2019,Alameda,Newark Unified,John F. Kennedy Elementary,Elementary Schools (Public),Traditional,K,6,404,109,0.27,115,0.285
2018-2019,Alameda,Newark Unified,Lincoln Elementary,Elementary Schools (Public),Traditional,K,6,401,165,0.41100000000000003,191,0.47600000000000003
2018-2019,Alameda,Newark Unified,Birch Grove Intermediate,Elementary Schools (Public),Traditional,3,6,438,153,0.349,181,0.413
2018-2019,Alameda,Newark Unified,Newark Junior High,Intermediate/Middle Schools (Public),Traditional,7,8,889,400,0.45,470,0.529
2018-2019,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",,,,,21,2,0.095,2,0.095
2018-2019,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Continuation High Schools,Continuation School,9,12,127,52,0.409,53,0.41700000000000004
2018-2019,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Alternative Schools of Choice,Alternative School of Choice,9,12,10,8,0.8,8,0.8
2018-2019,Alameda,New Haven Unified,Decoto School for Independent Study,Alternative Schools of Choice,Alternative School of Choice,K,12,121,49,0.405,57,0.47100000000000003
2018-2019,Alameda,New Haven Unified,James Logan High,High Schools (Public),Traditional,9,12,3635,1235,0.34,1593,0.43799999999999994
2018-2019,Alameda,New Haven Unified,Alvarado Elementary,Elementary Schools (Public),Traditional,K,5,726,256,0.353,353,0.486
2018-2019,Alameda,New Haven Unified,Hillview Crest Elementary,Elementary Schools (Public),Traditional,K,5,513,293,0.5710000000000001,355,0.6920000000000001
2018-2019,Alameda,New Haven Unified,Searles Elementary,Elementary Schools (Public),Traditional,K,5,662,301,0.455,334,0.505
2018-2019,Alameda,New Haven Unified,Itliong-Vera Cruz,Intermediate/Middle Schools (Public),Traditional,6,8,1396,421,0.302,545,0.39
2018-2019,Alameda,New Haven Unified,Cesar Chavez Middle,Intermediate/Middle Schools (Public),Traditional,6,8,1210,591,0.488,713,0.589
2018-2019,Alameda,New Haven Unified,Pioneer Elementary,Elementary Schools (Public),Traditional,K,5,750,198,0.264,260,0.34700000000000003
2018-2019,Alameda,New Haven Unified,Tom Kitayama Elementary,Elementary Schools (Public),Traditional,K,5,776,278,0.358,334,0.43
2018-2019,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Elementary Schools (Public),Traditional,K,5,569,283,0.49700000000000005,333,0.585
