Academic Year,County Name,District Name,School Name,School Type,Educational_Type,Low Grade,High Grade,1819_Enrollment,1819_Free_Meal_Count,1819_Free_Meal_Percent,1819_FRPM_Count,1819_FRPM_Percent
2018-2019,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,High Schools (Public),Traditional,9,12,385,262,0.6809999999999999,306,0.795
2018-2019,Alameda,Alameda County Office of Education,Community School for Creative Education,Elementary Schools (Public),Traditional,K,8,241,118,0.49,120,0.498
2018-2019,Alameda,Alameda County Office of Education,Yu Ming Charter,Elementary Schools (Public),Traditional,K,8,445,58,0.13,64,0.14400000000000002
2018-2019,Alameda,Alameda County Office of Education,Urban Montessori Charter,Elementary Schools (Public),Traditional,K,8,432,113,0.262,131,0.303
2018-2019,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,Juvenile Court Schools,Juvenile Court School,K,12,53,53,1.0,53,1.0
2018-2019,Alameda,Alameda County Office of Education,Alameda County Community,County Community,County Community School,K,12,133,106,0.797,114,0.857
2018-2019,Alameda,Alameda County Office of Education,Oakland Unity Middle,Intermediate/Middle Schools (Public),Traditional,6,8,184,128,0.696,141,0.7659999999999999
2018-2019,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,K-12 Schools (Public),Traditional,K,12,314,41,0.131,41,0.131
2018-2019,Alameda,Alameda County Office of Education,Opportunity Academy,County Community,County Community School,10,12,71,34,0.479,34,0.479
2018-2019,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,Junior High Schools (Public),Traditional,6,8,91,75,0.8240000000000001,81,0.89
2018-2019,Alameda,Alameda County Office of Education,Cox Academy,Elementary Schools (Public),Traditional,P,5,610,512,0.8390000000000001,548,0.898
2018-2019,Alameda,Alameda County Office of Education,Lazear Charter Academy,Elementary Schools (Public),Traditional,K,8,476,357,0.75,425,0.893
2018-2019,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special School,K,Adult,66,66,1.0,66,1.0
2018-2019,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special School,P,12,372,372,1.0,372,1.0
2018-2019,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",,,,,33,5,0.152,5,0.152
2018-2019,Alameda,Alameda Unified,Alameda Science and Technology Institute,Alternative Schools of Choice,Alternative School of Choice,9,12,192,47,0.245,55,0.28600000000000003
2018-2019,Alameda,Alameda Unified,Ruby Bridges Elementary,Elementary Schools (Public),Traditional,K,5,484,279,0.5760000000000001,305,0.63
2018-2019,Alameda,Alameda Unified,Nea Community Learning Center,K-12 Schools (Public),Traditional,K,12,579,171,0.295,203,0.35100000000000003
2018-2019,Alameda,Alameda Unified,The Academy of Alameda,Intermediate/Middle Schools (Public),Traditional,6,8,494,191,0.387,236,0.478
2018-2019,Alameda,Alameda Unified,Maya Lin,Alternative Schools of Choice,Alternative School of Choice,K,5,427,89,0.20800000000000002,98,0.23
2018-2019,Alameda,Alameda Unified,Alameda High,High Schools (Public),Traditional,9,12,1767,346,0.196,371,0.21
2018-2019,Alameda,Alameda Unified,Alameda Community Learning Center,K-12 Schools (Public),Traditional,6,12,351,90,0.256,93,0.265
2018-2019,Alameda,Alameda Unified,Alternatives in Action,High Schools (Public),Traditional,9,12,202,182,0.9009999999999999,191,0.946
2018-2019,Alameda,Alameda Unified,The Academy of Alameda Elementary,Elementary Schools (Public),Traditional,K,5,251,87,0.34700000000000003,114,0.45399999999999996
